,07.02.2025 21:16:05,08.02.2025 03:22:41,09.02.2025 03:25:06,10.02.2025 03:26:32,11.02.2025 03:25:15,12.02.2025 03:24:44,13.02.2025 03:24:58,14.02.2025 03:25:08,15.02.2025 03:25:38,16.02.2025 03:27:24,17.02.2025 03:27:47,18.02.2025 03:24:25,19.02.2025 03:28:16,19.02.2025 22:12:07,20.02.2025 03:26:08,21.02.2025 03:26:40,22.02.2025 03:24:04,23.02.2025 03:27:23,24.02.2025 03:29:27,25.02.2025 03:28:57,26.02.2025 03:28:47,27.02.2025 03:29:03
05.06 - 17.06,20472,20472,20472,20472,20472,20472,20472,20472,20472,20472,20472,20472,20472,20472,20472,20472,20472,20472,20472,20472,20472,20522
11.06 - 23.06,20725,20725,20725,20725,20725,20983,21497,21497,21240,21240,21240,21240,21240,21240,21240,21240,21240,21240,21240,21240,21240,21290
12.06 - 24.06,20346,20346,20346,20346,20346,20346,20346,20346,20346,20346,20346,20346,20346,,,20346,20346,20346,20346,20346,20346,20396
18.06 - 30.06,20967,20967,21095,21095,21350,21478,21694,21694,21694,21694,21694,21694,21694,21694,21694,21694,21694,21694,21694,21694,21694,21744
19.06 - 01.07,20597,20597,20597,20597,20597,20597,20597,20597,20597,20597,20597,20597,20597,20597,20597,20597,20597,20597,20597,20597,20597,20647
25.06 - 07.07,22182,22182,22182,22182,22182,22182,22182,22182,22182,22182,22182,22182,22182,,,22182,22182,22182,22182,22182,22182,22232
26.06 - 08.07,22117,22117,22117,22117,22117,22117,22117,22117,22117,22117,22117,22117,22117,22117,,22117,22117,22117,22117,22117,22117,22167
02.07 - 14.07,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21200
03.07 - 15.07,20591,20591,20591,20591,20591,20591,20591,20591,20591,20591,20591,20591,20591,20591,20591,20591,20591,20964,21274,21646,21646,21572
09.07 - 21.07,22017,22017,22017,22017,22017,22017,22017,22017,22017,22017,22017,22017,22017,,,22017,22017,22269,22269,22521,22269,22319
10.07 - 22.07,20343,20343,20343,20343,20343,20343,20343,20467,20591,20591,20591,20591,20591,20591,,20591,20591,20591,20591,20591,20591,20641
16.07 - 28.07,21854,21854,21854,21854,21854,21854,21854,21854,21854,21854,21854,21854,21854,21854,21854,21854,21854,21854,21854,21854,21854,21904
17.07 - 29.07,20989,20989,20989,20989,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20915
23.07 - 04.08,21088,21088,21088,21088,21088,21088,21212,21398,21398,21398,21398,21398,21398,21398,21398,21398,21398,21398,21398,21398,21398,21324
24.07 - 05.08,21708,21708,21708,21708,21708,21708,21708,21708,21708,21708,21708,21708,21708,,,21708,21708,21833,21833,21956,21956,22006
30.07 - 11.08,20653,20653,20901,20901,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21150,21200
31.07 - 12.08,20281,20281,20281,20281,20405,20529,20529,20529,20529,20529,20529,20529,20529,20529,20529,20529,20529,20529,20529,20529,20529,20579
06.08 - 18.08,20865,20865,20865,20865,20928,20928,20928,20928,20928,20928,20928,20928,20928,20928,,20928,20928,20928,20928,20928,20928,20978
07.08 - 19.08,20307,20307,20307,20307,20369,20369,20369,20369,20369,20369,20369,20369,20369,,,20369,20369,20369,20369,20369,20369,20419
13.08 - 25.08,22068,22068,22068,22068,22131,22131,22131,22131,22131,22131,22131,22131,22131,22131,22131,22131,22131,22131,22131,22131,22131,22181
14.08 - 26.08,20555,20555,20679,20679,20928,20803,20803,20803,20803,20803,20803,20803,20803,20803,20928,20928,21176,21176,21176,21176,21176,21102
20.08 - 01.09,20467,20467,20467,20467,20529,20529,20529,20529,20529,20653,20653,20777,20777,20777,,20777,20777,20777,20777,20777,20777,20827
21.08 - 02.09,20574,20574,20574,20574,20638,20638,20638,20638,20638,20766,20766,20766,20766,,,21597,21725,21725,21725,21853,21853,21903
28.08 - 09.09,20450,20450,20450,20450,20513,20513,20388,20388,20388,20638,20888,20888,20888,,,21514,21514,21514,21514,21389,21389,21439
29.08 - 10.09,21825,21825,21825,21825,21890,21890,21890,21890,21890,21890,21890,21890,21890,21890,,22019,22147,22147,22147,22147,22147,22197
03.09 - 15.09,22578,22578,22578,22578,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22720
04.09 - 16.09,20855,20855,20855,20855,20955,20955,20955,20955,20955,20955,20955,20955,20955,20955,20955,21081,21081,21081,21081,21081,21081,21131
10.09 - 22.09,21333,21333,21333,21333,21422,21422,21422,21422,21422,21422,21422,21422,21422,,,21422,21422,21548,21548,21737,21737,21661
11.09 - 23.09,22727,22727,22727,22727,22818,22818,22818,22818,22818,22818,22818,22818,22818,22818,,22818,22818,22818,22818,22818,22818,22868
17.09 - 29.09,22928,22928,22928,22928,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23070
18.09 - 30.09,20994,20994,20994,20994,21081,21207,21396,21396,21396,21396,21396,21396,21396,21521,21521,21647,21647,21647,21647,21647,21647,21886
24.09 - 06.10,21904,21904,21904,21904,22006,22006,22006,22006,22006,22006,22006,22006,22006,,,22006,22006,22006,22006,22006,22006,22056
01.10 - 13.10,20878,20878,20878,20878,20878,20878,20878,20878,20878,20878,20878,20878,20878,20878,,20878,20878,20878,20878,20878,20878,20928
08.10 - 20.10,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20564
15.10 - 27.10,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20304
22.10 - 03.11,20482,20482,20482,20482,20482,20615,20880,20880,20880,20880,20880,20747,20747,20747,20747,20747,20784,20784,20784,20784,20784,20834
29.10 - 10.11,19179,19179,19441,19441,19702,19832,20093,20093,20093,20093,20093,20093,20093,,,20093,20381,20381,20381,20381,20381,20431
